Time,Attribute,State,Phase
209638.12999999936,,, START
416262.91499999934,cold,1,ON_TCATA
531940.8399999994, decreasing sensation,1,ON_TCATA
624233.585,tingling,1,ON_TCATA
811748.8250000007,,, S_STOPPED
853712.85,,, START
892826.6650000005,itching,1,OFF_TCATA
1059109.195000001, decreasing sensation,0,OFF_TCATA
1159011.8550000007,itching,0,OFF_TCATA
1190994.0349999997,tingling,0,OFF_TCATA
1457445.7949999997,,, S_STOPPED
,cold,,DOM_SENSE
